event_id	factlets_cluster_id	fact	context	label
2020_08_20_16	factlets_cluster-13	At least four justices must vote to take the case for Mr. Trump’s appeal to be heard by the Supreme Court.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster-11	In 2018, the district court ruled Mr. Trump’s Twitter account was a “public forum“ and he cannot discriminate against those who disagree with him, reasoning that is viewpoint discrimination in violation of the First Amendment.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster-6	The administration reasoned the president created his Twitter account in 2009 when he was a private citizen and if he were not allowed to block users, that would mean he was being treated differently than other Twitter account holders.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster-5	Mr. Trump’s Justice Department, though, wants the Supreme Court to step in, arguing the justices must hear the case because the lower courts’ rulings blur the line between official action and personal conduct.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster-4	Both the federal district and circuit court ruled the president violated the First Amendment by blocking Twitter users since he uses his personal account, at times, to announce official policies.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster-1	Trump asks Supreme Court to hear case over his right to block followers on Twitter	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster0	President Trump asked the Supreme Court on Thursday to hear a case over his ability to block users on Twitter from his account after lower courts said the move ran afoul of the Constitution.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster0	The Justice Department on Thursday asked the high court to review a federal appeals court ruling that found the president's practice of blocking critics violates the First Amendment.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster0	The Justice Department on Thursday asked the high court to review a federal appeals court ruling that found the president's practice of blocking critics violates the First Amendment.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
2020_08_20_16	factlets_cluster0	The White House asked the Supreme Court on Thursday to reverse a lower court ruling that said President Donald Trump's practice of blocking critics on Twitter ran afoul of the Constitution's First Amendment.	FILE PHOTO: U.S. President Donald Trump speaks during a meeting with Iraq's Prime Minister Mustafa al-Kadhimi in the Oval Office at the White House in Washington, U.S., August 20, 2020. REUTERS/Carlos Barria/File Photo WASHINGTON (Reuters) - The Justice Department on Thursday asked the U.S. Supreme Court to review an appeals court decision requiring U.S. President Donald Trump to unblock Twitter users from viewing his account. Trump lost a lawsuit in May 2018 on behalf of Twitter users and agreed to unblock those accounts. Trump has made his @RealDonaldTrump account, which he opened in 2009, a central and controversial part of his presidency, using it to attack critics and to promote his agenda to his more than 85 million followers. The Justice Department said if left standing, the ruling “would deter holders of his office from using new technology to efficiently communicate to a broad public audience.” Last month, the Knight First Amendment Institute at Columbia University filed a new lawsuit in U.S. District Court in Manhattan on behalf of five additional individuals who remain blocked. The group urged the Supreme Court not to take up the Justice Department’s appeal. “This case stands for a principle that is fundamental to our democracy and basically synonymous with the First Amendment: government officials can’t exclude people from public forums simply because they disagree with their political views,” said Jameel Jaffer, the Knight Institute’s executive director. The Justice Department said “by ignoring the critical distinction between the president’s (sometimes) official statements on Twitter and his always personal decision to block respondents from his own account, the opinion blurs the line between state action and private conduct.” A federal appeals court in July 2019 upheld the ruling and the full 2nd U.S. Circuit Appeals Court in March declined to reverse that ruling. “The First Amendment does not permit a public official who utilizes a social media account for all manner of official purposes to exclude persons from an otherwise-open online dialogue because they expressed views with which the official disagrees,” wrote Circuit Judge Barrington Parker. Trump in May attacked Twitter for tagging his tweets about unsubstantiated claims of fraud about mail-in voting with a warning.	1
