2020_01_03_0	US kills Iran’s most powerful general in Baghdad airstrike
2020_01_03_1	Lebanon receives Interpol arrest warrant for ex-Nissan boss Ghosn
2020_01_03_2	Oil prices jump after U.S. air strike kills top Iranian commander
2020_01_03_3	U.S. farmers see another bleak year despite Phase 1 trade deal
2020_01_03_4	Israel defends U.S. killing of Iranian commander, puts military on alert
2020_01_03_5	Ryanair CEO says group may not get 737 MAX until October: report
2020_01_03_6	Trump seeks to shore up evangelical support at 'prosperity gospel' church
2020_01_03_7	Conservative, liberal Methodists to split over gay marriage
2020_01_03_8	Giuliani associate can give documents sought in Trump impeachment to House panel
2020_01_03_9	Trump says ordered killing of Iranian general to prevent war, not start one
2020_01_03_10	Former Mexico security chief tied to Sinaloa cartel pleads not guilty in NY
2020_07_18_0	U.S. swoops down on Portland protesters after Trump order to protect monuments
2020_07_18_1	Australia PM delays parliament as coronavirus spreads
2020_07_18_2	Iran has sent black boxes of downed plane to France: official
2020_07_18_3	Russia holds military exercises in southwest amid flare-up between Azerbaijan and Armenia
2020_07_18_4	G20 finance officials eye solution to digital tax row this year
2020_08_25_0	Facebook blocks group critical of Thai monarchy amid government pressure
2020_08_25_1	Wisconsin calls out National Guard after unrest over police shooting of Black man
2020_08_25_2	Merkel tells Russia to investigate suspected poisoning of Kremlin critic
2020_08_25_3	Belarus jails two opposition leaders; teachers head rally of thousands
2020_08_25_4	Coronavirus re-infections raise concerns about immunity
2020_08_25_5	Sudan PM tells Pompeo he's not authorised to normalise ties with Israel
2020_08_25_6	Former Bosnian Serb general Mladic appeals genocide conviction
2020_08_25_7	Three killed, 41 wounded in Taliban truck bomb in Afghanistan
2020_08_25_8	In California heatwave, pandemic makes it hard to cool off
2020_08_25_9	Germany urges Turkish-Greek talks to avoid 'catastrophe'
2020_08_25_10	Iran's Rouhani: Talks possible if U.S. returns to 2015 nuclear deal
2020_08_25_11	U.S. slams Turkey's Erdogan for hosting Hamas
2020_08_25_12	U.N. Security Council president dismisses U.S. sanctions move on Iran
2020_08_25_13	U.S. imposes sanctions on Chinese national over fentanyl trafficking
2020_08_25_14	U.S. backs EU probe of Russian opposition leader's illness - Pompeo
2020_08_25_15	Israeli delegation to visit UAE next week, accompanied by Trump aides
2020_10_01_0	American Islamic State supporters held by Kurds back in U.S. custody: DOJ
2020_10_01_1	Top U.S. airlines starting 32,000 furloughs as bailout hopes fade
2020_10_01_2	Exclusive: FDA widens U.S. safety inquiry into AstraZeneca coronavirus vaccine - sources
2020_10_01_3	Trump signs stopgap bill to avoid U.S. government shutdown
2020_10_01_4	France, Russia, U.S. demand immediate end to Nagorno-Karabakh hostilities
2020_10_01_5	Google to pay publishers $1 billion over three years for their news
2020_10_01_6	New York Catholic diocese files for bankruptcy to cover abuse lawsuit costs
2020_10_19_0	China's Ant wins Hong Kong nod for $35 billion dual listing: sources
2020_10_19_1	On Suga's overseas debut, Japan, Vietnam agree broadly on defence transfer
2020_10_19_2	Thai police probe media, as thousands again defy protest ban
2020_10_19_3	India says Chinese soldier apprehended in Ladakh, to be returned
2020_08_01_0	Trump says he will ban TikTok app in the United States
2020_08_01_1	Iran says it has detained U.S.-based opposition leader over 2008 bomb attack
2020_08_01_2	Thousands march in Berlin against coronavirus curbs
2020_08_01_3	Kenya Airways resumes international flights after virus curbs lifted
2020_08_01_4	Bass addresses past remarks praising Scientology
2020_06_06_0	Biden wins enough delegates to clinch U.S. Democratic nomination
2020_09_21_0	Explainer: U.S. says U.N. sanctions on Iran have now been reimposed. What does that mean?
2020_09_21_1	Suspect arrested in connection with ricin letter addressed to White House
2020_09_21_2	Greece says it's close to resuming maritime talks with Turkey
2020_09_21_3	India's Modi defends new law as critics warn of risks to farmers
2020_09_21_4	Israeli court approves extradition to Australia of sex-crime suspect
2020_09_21_5	Belarus opposition appeal to EU fails to unblock sanctions
2020_09_21_6	Europe scrambles to contain rise in coronavirus cases
2020_09_21_7	Russia rejects U.S. terms, sees 'minimal' chance to extend New START nuclear pact
2020_09_21_9	Justice Ginsburg to be honoured at U.S. Supreme Court, Capitol
2020_09_21_10	U.S. charges New York City police officer with acting as illegal agent of China
2020_02_18_0	Federal, B.C. ministers seek meeting with Wet’suwet’en in hope of blockade solution – Kelowna Capital News
2020_02_18_1	Colombia tells Facebook to boost security for users' data
2020_02_18_2	Hospital director dies in China's Wuhan, epicentre of coronavirus outbreak
2020_02_18_3	Turkey ramps up Gulen crackdown with nearly 700 arrests
2020_02_18_4	Thai police arrest gunman for killing ex-wife at shopping mall
2020_02_18_5	Turkey issues fresh detention request after surprise acquittal in protest trial
2020_02_18_6	Bloomberg qualifies for next debate after poll boost
2020_02_18_7	Russian artist under investigation over French sexting row
2020_02_18_8	Ghani named winner of disputed Afghan poll, rival also claims victory
2020_02_18_9	Netanyahu's trial to begin on March 17: Israeli Justice Ministry
2020_02_18_10	Russia bars entry of Chinese citizens amid coronavirus threat
2020_04_09_0	Sanders quits U.S. presidential race, setting up Biden battle with Trump
2020_04_09_1	Saudi, Russia outline record oil cut under U.S. pressure as demand crashes
2020_04_09_2	Saudi-led coalition announces ceasefire in five-year Yemen war
2020_04_09_3	Australian police take 'black box' off cruise ship in coronavirus homicide probe
2020_04_09_4	Exclusive: U.S. ambassador to South Korea is discussing plans to resign - sources
2020_04_09_5	Rockets hit U.S. air base in Afghanistan; no casualties
2020_04_09_6	EU ministers agree half a trillion euro coronavirus rescue plan
2020_04_09_7	Pfizer says early studies of potential coronavirus treatment show promise
2020_07_10_0	U.S. bans Pakistan International Airlines flights over pilot concerns
2020_07_10_1	North Korean leader's sister says another summit unlikely but ”a surprise thing may still happen”
2020_07_10_2	China should meet with U.S. on arms control, State Department says
2020_07_10_3	Botswana gets first test results on elephant deaths
2020_07_10_4	UPDATE 1-Tropical Storm Fay brings drenching rainfall to U.S. Northeast
2020_07_10_5	Speak quietly and follow the rules, Tokyo nightclubs told as coronavirus re-emerges
2020_07_10_6	Hong Kong to suspend all schools due to spike in coronavirus cases
2020_07_10_7	Swedish court finds ex-envoy to China not guilty in Gui Minhai case
